file,field,precision,recall,f1_score
Burke,num_tested_probands,1.0,1.0,1.0
Burke,num_positive_het_probands,1.0,1.0,1.0
Burke,num_compound_or_double_hets,1.0,1.0,1.0
Gatke2001,num_tested_probands,1.0,1.0,1.0
Gatke2001,num_positive_het_probands,0.0,0.0,0.0
Gatke2001,num_compound_or_double_hets,1.0,1.0,1.0
Gatke2007,num_tested_probands,1.0,1.0,1.0
Gatke2007,num_positive_het_probands,1.0,1.0,1.0
Gatke2007,num_compound_or_double_hets,0.6666666666666666,1.0,0.8
Hubers,num_tested_probands,1.0,1.0,1.0
Hubers,num_positive_het_probands,1.0,1.0,1.0
Hubers,num_compound_or_double_hets,1.0,0.5,0.6666666666666666
Musante,num_tested_probands,0.6666666666666666,1.0,0.8
Musante,num_positive_het_probands,1.0,1.0,1.0
Musante,num_compound_or_double_hets,0.5,0.6666666666666666,0.5714285714285714
Vantroys,num_tested_probands,0.8,1.0,0.8888888888888888
Vantroys,num_positive_het_probands,0.0,0.0,0.0
Vantroys,num_compound_or_double_hets,0.6,1.0,0.75
OVERALL,num_tested_probands,0.9111111111111111,1.0,0.9481481481481482
OVERALL,num_positive_het_probands,0.6666666666666666,0.6666666666666666,0.6666666666666666
OVERALL,num_compound_or_double_hets,0.7944444444444444,0.8611111111111112,0.798015873015873
