file,field,precision,recall,f1_score
Burke,num_tested_probands,1.0,0.6666666666666666,0.8
Burke,num_positive_het_probands,1.0,1.0,1.0
Burke,num_compound_or_double_hets,1.0,0.6666666666666666,0.8
Gatke2001,num_tested_probands,1.0,0.5,0.6666666666666666
Gatke2001,num_positive_het_probands,1.0,1.0,1.0
Gatke2001,num_compound_or_double_hets,1.0,1.0,1.0
Gatke2007,num_tested_probands,1.0,0.3333333333333333,0.5
Gatke2007,num_positive_het_probands,0.0,0.0,0.0
Gatke2007,num_compound_or_double_hets,1.0,1.0,1.0
Hubers,num_tested_probands,1.0,0.5,0.6666666666666666
Hubers,num_positive_het_probands,1.0,1.0,1.0
Hubers,num_compound_or_double_hets,1.0,0.5,0.6666666666666666
Musante,num_tested_probands,0.75,0.75,0.75
Musante,num_positive_het_probands,1.0,1.0,1.0
Musante,num_compound_or_double_hets,0.0,0.0,0.0
Vantroys,num_tested_probands,1.0,1.0,1.0
Vantroys,num_positive_het_probands,1.0,1.0,1.0
Vantroys,num_compound_or_double_hets,0.0,0.0,0.0
OVERALL,num_tested_probands,0.9583333333333334,0.625,0.7305555555555555
OVERALL,num_positive_het_probands,0.8333333333333334,0.8333333333333334,0.8333333333333334
OVERALL,num_compound_or_double_hets,0.6666666666666666,0.5277777777777778,0.5777777777777778
