file,field,precision,recall,f1_score
Burke,num_tested_probands,1.0,0.6666666666666666,0.8
Burke,num_positive_het_probands,1.0,1.0,1.0
Burke,num_compound_or_double_hets,1.0,0.6666666666666666,0.8
Gatke2001,num_tested_probands,1.0,0.75,0.8571428571428571
Gatke2001,num_positive_het_probands,1.0,1.0,1.0
Gatke2001,num_compound_or_double_hets,0.6666666666666666,0.6666666666666666,0.6666666666666666
Gatke2007,num_tested_probands,1.0,0.6666666666666666,0.8
Gatke2007,num_positive_het_probands,1.0,0.5,0.6666666666666666
Gatke2007,num_compound_or_double_hets,1.0,1.0,1.0
Hubers,num_tested_probands,1.0,0.5,0.6666666666666666
Hubers,num_positive_het_probands,1.0,1.0,1.0
Hubers,num_compound_or_double_hets,0.0,0.0,0.0
Musante,num_tested_probands,0.75,0.75,0.75
Musante,num_positive_het_probands,1.0,1.0,1.0
Musante,num_compound_or_double_hets,0.5,0.3333333333333333,0.4
Vantroys,num_tested_probands,1.0,1.0,1.0
Vantroys,num_positive_het_probands,1.0,1.0,1.0
Vantroys,num_compound_or_double_hets,1.0,0.6666666666666666,0.8
OVERALL,num_tested_probands,0.9583333333333334,0.7222222222222222,0.8123015873015872
OVERALL,num_positive_het_probands,1.0,0.9166666666666666,0.9444444444444445
OVERALL,num_compound_or_double_hets,0.6944444444444445,0.5555555555555555,0.6111111111111112
