file,field,precision,recall,f1_score
Burke,num_tested_probands,1.0,1.0,1.0
Burke,num_positive_het_probands,1.0,1.0,1.0
Burke,num_compound_or_double_hets,1.0,1.0,1.0
Gatke2001,num_tested_probands,1.0,1.0,1.0
Gatke2001,num_positive_het_probands,0.0,0.0,0.0
Gatke2001,num_compound_or_double_hets,1.0,1.0,1.0
Gatke2007,num_tested_probands,1.0,1.0,1.0
Gatke2007,num_positive_het_probands,1.0,1.0,1.0
Gatke2007,num_compound_or_double_hets,1.0,1.0,1.0
Hubers,num_tested_probands,1.0,1.0,1.0
Hubers,num_positive_het_probands,1.0,1.0,1.0
Hubers,num_compound_or_double_hets,0.0,0.0,0.0
Musante,num_tested_probands,1.0,1.0,1.0
Musante,num_positive_het_probands,0.0,0.0,0.0
Musante,num_compound_or_double_hets,1.0,1.0,1.0
Vantroys,num_tested_probands,1.0,1.0,1.0
Vantroys,num_positive_het_probands,1.0,1.0,1.0
Vantroys,num_compound_or_double_hets,1.0,1.0,1.0
OVERALL,num_tested_probands,1.0,1.0,1.0
OVERALL,num_positive_het_probands,0.6666666666666666,0.6666666666666666,0.6666666666666666
OVERALL,num_compound_or_double_hets,0.8333333333333334,0.8333333333333334,0.8333333333333334
