file,field,precision,recall,f1_score
Burke,num_tested_probands,1.0,1.0,1.0
Burke,num_positive_het_probands,1.0,1.0,1.0
Burke,num_compound_or_double_hets,0.6666666666666666,1.0,0.8
Gatke2001,num_tested_probands,1.0,0.75,0.8571428571428571
Gatke2001,num_positive_het_probands,0.0,0.0,0.0
Gatke2001,num_compound_or_double_hets,1.0,1.0,1.0
Gatke2007,num_tested_probands,1.0,1.0,1.0
Gatke2007,num_positive_het_probands,0.6666666666666666,1.0,0.8
Gatke2007,num_compound_or_double_hets,0.6666666666666666,1.0,0.8
Hubers,num_tested_probands,1.0,1.0,1.0
Hubers,num_positive_het_probands,0.0,0.0,0.0
Hubers,num_compound_or_double_hets,1.0,1.0,1.0
Musante,num_tested_probands,0.5714285714285714,1.0,0.7272727272727273
Musante,num_positive_het_probands,0.0,0.0,0.0
Musante,num_compound_or_double_hets,0.6666666666666666,0.6666666666666666,0.6666666666666666
Vantroys,num_tested_probands,0.8,1.0,0.8888888888888888
Vantroys,num_positive_het_probands,0.0,0.0,0.0
Vantroys,num_compound_or_double_hets,0.75,1.0,0.8571428571428571
OVERALL,num_tested_probands,0.8260869565217391,0.95,0.8837209302325582
OVERALL,num_positive_het_probands,0.3076923076923077,1.0,0.47058823529411764
OVERALL,num_compound_or_double_hets,0.7777777777777778,0.9333333333333333,0.8484848484848485
