file,field,precision,recall,f1_score
Burke,num_tested_probands,0.75,1.0,0.8571428571428571
Burke,num_positive_het_probands,1.0,1.0,1.0
Burke,num_compound_or_double_hets,0.75,1.0,0.8571428571428571
Gatke2001,num_tested_probands,1.0,0.75,0.8571428571428571
Gatke2001,num_positive_het_probands,0.0,0.0,0.0
Gatke2001,num_compound_or_double_hets,1.0,1.0,1.0
Gatke2007,num_tested_probands,1.0,1.0,1.0
Gatke2007,num_positive_het_probands,1.0,1.0,1.0
Gatke2007,num_compound_or_double_hets,0.6666666666666666,1.0,0.8
Hubers,num_tested_probands,1.0,1.0,1.0
Hubers,num_positive_het_probands,1.0,1.0,1.0
Hubers,num_compound_or_double_hets,1.0,1.0,1.0
Musante,num_tested_probands,0.5714285714285714,1.0,0.7272727272727273
Musante,num_positive_het_probands,1.0,1.0,1.0
Musante,num_compound_or_double_hets,0.4,0.6666666666666666,0.5
Vantroys,num_tested_probands,0.8,1.0,0.8888888888888888
Vantroys,num_positive_het_probands,0.0,0.0,0.0
Vantroys,num_compound_or_double_hets,0.6,1.0,0.75
OVERALL,num_tested_probands,0.8535714285714286,0.9583333333333334,0.8884078884078884
OVERALL,num_positive_het_probands,0.6666666666666666,0.6666666666666666,0.6666666666666666
OVERALL,num_compound_or_double_hets,0.7361111111111112,0.9444444444444445,0.817857142857143
