file,field,precision,recall,f1_score
Burke,num_tested_probands,1.0,0.6666666666666666,0.8
Burke,num_positive_het_probands,0.0,0.0,0.0
Burke,num_compound_or_double_hets,1.0,0.6666666666666666,0.8
Gatke2001,num_tested_probands,1.0,1.0,1.0
Gatke2001,num_positive_het_probands,1.0,1.0,1.0
Gatke2001,num_compound_or_double_hets,1.0,1.0,1.0
Gatke2007,num_tested_probands,1.0,1.0,1.0
Gatke2007,num_positive_het_probands,1.0,1.0,1.0
Gatke2007,num_compound_or_double_hets,0.5,0.5,0.5
Hubers,num_tested_probands,1.0,0.5,0.6666666666666666
Hubers,num_positive_het_probands,0.0,0.0,0.0
Hubers,num_compound_or_double_hets,0.0,0.0,0.0
Musante,num_tested_probands,0.5714285714285714,1.0,0.7272727272727273
Musante,num_positive_het_probands,1.0,1.0,1.0
Musante,num_compound_or_double_hets,0.25,0.3333333333333333,0.2857142857142857
Vantroys,num_tested_probands,1.0,1.0,1.0
Vantroys,num_positive_het_probands,1.0,1.0,1.0
Vantroys,num_compound_or_double_hets,0.0,0.0,0.0
OVERALL,num_tested_probands,0.9285714285714285,0.8611111111111112,0.8656565656565657
OVERALL,num_positive_het_probands,0.6666666666666666,0.6666666666666666,0.6666666666666666
OVERALL,num_compound_or_double_hets,0.4583333333333333,0.4166666666666667,0.430952380952381
